"DonorName","RequestYear","highP20","commitment_value","disbursement_value","commitment_value_total","disbursement_value_total","share_commitments"
"Canada",2012,"regional aid",1007.90697777139,1007.90697777139,2604.11433021958,2604.11433021958,0.387044057964384
"Canada",2012,"other countries",562.67088723699,562.67088723699,2604.11433021958,2604.11433021958,0.216069963099333
"Canada",2012,"high P20 headcounts",1033.5364652112,1033.5364652112,2604.11433021958,2604.11433021958,0.396885978936283
"Canada",2013,"regional aid",941.60597374802,941.60597374802,2591.81650811602,2591.81650811602,0.363299628194925
"Canada",2013,"other countries",578.2237391411,578.2237391411,2591.81650811602,2591.81650811602,0.223095939596977
"Canada",2013,"high P20 headcounts",1071.9867952269,1071.9867952269,2591.81650811602,2591.81650811602,0.413604432208097
"Canada",2014,"regional aid",1006.31677131328,1006.31677131328,2935.02529077578,2935.02529077578,0.342864770016102
"Canada",2014,"other countries",921.22639143676,921.22639143676,2935.02529077578,2935.02529077578,0.313873408291233
"Canada",2014,"high P20 headcounts",1007.48212802574,1007.48212802574,2935.02529077578,2935.02529077578,0.343261821692666
"Canada",2015,"regional aid",1055.0216477286,1055.0216477286,3482.28281091166,3482.28281091166,0.302968398897043
"Canada",2015,"other countries",1042.89943358806,1042.89943358806,3482.28281091166,3482.28281091166,0.299487287568993
"Canada",2015,"high P20 headcounts",1384.361729595,1384.361729595,3482.28281091166,3482.28281091166,0.397544313533964
"Canada",2016,"regional aid",1107.8371998087,1107.8371998087,3905.31968714283,3905.31968714283,0.283673882948928
"Canada",2016,"other countries",1191.8338231946,1191.8338231946,3905.31968714283,3905.31968714283,0.305182140944409
"Canada",2016,"high P20 headcounts",1605.64866413953,1605.64866413953,3905.31968714283,3905.31968714283,0.411143976106663
"Canada",2017,"regional aid",879.433354080057,879.433354080057,2579.42002263202,2579.42002263202,0.34094228406535
"Canada",2017,"other countries",764.899402366642,764.899402366642,2579.42002263202,2579.42002263202,0.296539297848105
"Canada",2017,"high P20 headcounts",935.087266185317,935.087266185317,2579.42002263202,2579.42002263202,0.362518418086544
"France",2001,"regional aid",84.83808252,84.83808252,4386.652251455,4386.652251455,0.0193400519705797
"France",2001,"other countries",2763.843936467,2763.843936467,4386.652251455,4386.652251455,0.6300576790764
"France",2001,"high P20 headcounts",1537.970232468,1537.970232468,4386.652251455,4386.652251455,0.350602268953021
"France",2002,"regional aid",335.47083265,335.47083265,5879.54779758898,5879.54779758898,0.0570572506932534
"France",2002,"other countries",3545.51645710866,3545.51645710866,5879.54779758898,5879.54779758898,0.60302536507358
"France",2002,"high P20 headcounts",1998.56050783032,1998.56050783032,5879.54779758898,5879.54779758898,0.339917384233166
"France",2003,"regional aid",634.20289641,634.20289641,7551.7002393507,7551.7002393507,0.0839814712328318
"France",2003,"other countries",3111.3367175692,3111.3367175692,7551.7002393507,7551.7002393507,0.412004796132733
"France",2003,"high P20 headcounts",3806.1606253715,3806.1606253715,7551.7002393507,7551.7002393507,0.504013732634435
"France",2004,"regional aid",706.209318459,706.209318459,6505.186706974,6505.186706974,0.108560960702618
"France",2004,"other countries",2400.977913719,2400.977913719,6505.186706974,6505.186706974,0.36908670294505
"France",2004,"high P20 headcounts",3397.999474796,3397.999474796,6505.186706974,6505.186706974,0.522352336352332
"France",2005,"regional aid",108.3017253861,108.3017253861,8053.7872364931,8053.7872364931,0.0134473040081524
"France",2005,"other countries",3468.209295688,3468.209295688,8053.7872364931,8053.7872364931,0.430630856496053
"France",2005,"high P20 headcounts",4477.276215419,4477.276215419,8053.7872364931,8053.7872364931,0.555921839495795
"France",2006,"regional aid",497.44738398,497.44738398,9280.837256571,9280.837256571,0.0535994081382904
"France",2006,"other countries",3541.116456633,3541.116456633,9280.837256571,9280.837256571,0.381551400885284
"France",2006,"high P20 headcounts",5242.273415958,5242.273415958,9280.837256571,9280.837256571,0.564849190976426
"France",2007,"regional aid",468.601201644,468.601201644,7230.9878275529,7230.9878275529,0.0648045900255074
"France",2007,"other countries",4553.1370740924,4553.1370740924,7230.9878275529,7230.9878275529,0.629670133967473
"France",2007,"high P20 headcounts",2209.2495518165,2209.2495518165,7230.9878275529,7230.9878275529,0.30552527600702
"France",2008,"regional aid",437.270202161,437.270202161,8045.091950228,8045.091950228,0.0543524182030769
"France",2008,"other countries",5449.447340067,5449.447340067,8045.091950228,8045.091950228,0.67736296536829
"France",2008,"high P20 headcounts",2158.374408,2158.374408,8045.091950228,8045.091950228,0.268284616428633
"France",2009,"regional aid",539.196687641,539.196687641,7880.0010126767,7880.0010126767,0.068425966795383
"France",2009,"other countries",4621.2344950598,4621.2344950598,7880.0010126767,7880.0010126767,0.586451002687124
"France",2009,"high P20 headcounts",2719.5698299759,2719.5698299759,7880.0010126767,7880.0010126767,0.345123030517493
"France",2010,"regional aid",593.2975241345,593.2975241345,9639.85416194481,9639.85416194481,0.0615463174200972
"France",2010,"other countries",5681.0585800524,5681.0585800524,9639.85416194481,9639.85416194481,0.589330345108278
"France",2010,"high P20 headcounts",3365.49805775791,3365.49805775791,9639.85416194481,9639.85416194481,0.349123337471625
"France",2011,"regional aid",758.276482925,758.276482925,7853.270932807,7853.270932807,0.0965554976280398
"France",2011,"other countries",4247.62883354142,4247.62883354142,7853.270932807,7853.270932807,0.540873843508566
"France",2011,"high P20 headcounts",2847.36561634058,2847.36561634058,7853.270932807,7853.270932807,0.362570658863395
"France",2012,"regional aid",636.1074104397,636.1074104397,10072.4774949575,10072.4774949575,0.0631530237479457
"France",2012,"other countries",5698.8415744765,5698.8415744765,10072.4774949575,10072.4774949575,0.565783500368153
"France",2012,"high P20 headcounts",3737.5285100413,3737.5285100413,10072.4774949575,10072.4774949575,0.371063475883901
"France",2013,"regional aid",602.8811116043,602.8811116043,7538.91589956457,7538.91589956457,0.0799692050735201
"France",2013,"other countries",3782.50481692653,3782.50481692653,7538.91589956457,7538.91589956457,0.501730602558519
"France",2013,"high P20 headcounts",3153.52997103374,3153.52997103374,7538.91589956457,7538.91589956457,0.418300192367961
"France",2014,"regional aid",219.876392325,219.876392325,7670.0615127922,7670.0615127922,0.0286668355864276
"France",2014,"other countries",4473.2734122865,4473.2734122865,7670.0615127922,7670.0615127922,0.583212195211985
"France",2014,"high P20 headcounts",2976.9117081807,2976.9117081807,7670.0615127922,7670.0615127922,0.388120969201587
"France",2015,"regional aid",471.682517593,471.682517593,8676.8025635739,8676.8025635739,0.0543613288578412
"France",2015,"other countries",4510.4431161303,4510.4431161303,8676.8025635739,8676.8025635739,0.519827791756562
"France",2015,"high P20 headcounts",3694.6769298506,3694.6769298506,8676.8025635739,8676.8025635739,0.425810879385596
"France",2016,"regional aid",575.53833566,575.53833566,8364.5122253079,8364.5122253079,0.0688071605560735
"France",2016,"other countries",5047.2476637579,5047.2476637579,8364.5122253079,8364.5122253079,0.603412073269115
"France",2016,"high P20 headcounts",2741.72622589,2741.72622589,8364.5122253079,8364.5122253079,0.327780766174811
"France",2017,"regional aid",102.800643754,102.800643754,10283.6863814341,10283.6863814341,0.00999647791083882
